series,threshold,precision,recall
In,-0.1339668872049302,0.006105654366870188,1.0
In,-0.1309304687417125,0.006156316916488222,1.0
In,-0.1283066443967906,0.006171183257311511,1.0
In,-0.1281976149625452,0.0062246278755074425,1.0
In,-0.1281913365278749,0.006258503401360544,1.0
In,-0.1278659544073596,0.006263616557734205,1.0
In,-0.1277917578676867,0.006265322800326887,1.0
In,-0.1275521412756702,0.006320417697169552,1.0
In,-0.1265854289500287,0.006329113924050633,1.0
In,-0.1257684125862819,0.006337834114081014,1.0
In,-0.1244707646654988,0.006357103372028745,1.0
In,-0.124423192752922,0.006365900913368392,1.0
In,-0.1236281142005084,0.006369426751592357,1.0
In,-0.1235883296502464,0.0064013359309769,1.0
In,-0.1233931703478532,0.006406685236768802,1.0
In,-0.1231117305535565,0.006442577030812325,1.0
In,-0.1230649579576272,0.006471581316826111,1.0
In,-0.1223105439277294,0.006482525366403607,1.0
In,-0.1214664625584678,0.006607296753806378,1.0
In,-0.1214664554921963,0.0066091954022988505,1.0
In,-0.1210779765980981,0.006618705035971223,1.0
In,-0.1202421167194092,0.006622516556291391,1.0
In,-0.1195605650212939,0.0066244239631336405,1.0
In,-0.1190732980167769,0.006628242074927954,1.0
In,-0.1190699095710465,0.006637806637806638,1.0
In,-0.1189423808639314,0.0066454781854955215,1.0
In,-0.1189324774311134,0.006647398843930636,1.0
In,-0.1189298940608125,0.006653167486259763,1.0
In,-0.1188971798627678,0.00666087460179554,1.0
In,-0.1188280277135408,0.006664734859461026,1.0
In,-0.1186150356814096,0.0066841034582970065,1.0
In,-0.1180013117201044,0.006689936009307737,1.0
In,-0.1177119389051398,0.00669188245562991,1.0
In,-0.1171191851046514,0.006697728596389051,1.0
In,-0.1166575319907992,0.006705539358600583,1.0
In,-0.1166143548830636,0.0067428906479038405,1.0
In,-0.1161555517601983,0.006744868035190616,1.0
In,-0.1160690353058886,0.0067488262910798125,1.0
In,-0.1159878549268391,0.006754772393538913,1.0
In,-0.1158990243707649,0.006762716847985887,1.0
In,-0.1154723507924368,0.0067866627323694305,1.0
In,-0.1151385098501288,0.006800709639266706,1.0
In,-0.1151310191522762,0.006804733727810651,1.0
In,-0.1146476535579714,0.006808762581409118,1.0
In,-0.1141646738448804,0.006812796208530806,1.0
In,-0.1137493871476156,0.006814814814814815,1.0
In,-0.1136471351619862,0.006822901216256304,1.0
In,-0.113255541117167,0.006824925816023739,1.0
In,-0.1131772934427966,0.00682695161769071,1.0
In,-0.112758113987041,0.006843201428146385,1.0
In,-0.1127540479809418,0.006847275974992557,1.0
In,-0.1127292508540785,0.00684931506849315,1.0
In,-0.1127266893645844,0.006859528780196839,1.0
In,-0.112579334590293,0.0068718255153869135,1.0
In,-0.1125315261380357,0.006873879258816497,1.0
In,-0.1125039611569361,0.00694654183026276,1.0
In,-0.1123266062950351,0.00695074040495618,1.0
In,-0.1121995676975989,0.006952841596130592,1.0
In,-0.1111200861081896,0.0069570477918935265,1.0
In,-0.1104601225780937,0.0069675855801272345,1.0
In,-0.1100900306825964,0.006976038823172581,1.0
In,-0.1098767564551227,0.006995133819951338,1.0
In,-0.1098411159371278,0.007001522070015221,1.0
In,-0.1095477989643995,0.007100957085520223,1.0
In,-0.1094699539402943,0.007103150092649784,1.0
In,-0.1088884968613007,0.007125154894671623,1.0
In,-0.1086794580881378,0.007183010618363523,1.0
In,-0.1081208202442005,0.0072168183244430495,1.0
In,-0.1080035260818687,0.007223618090452261,1.0
In,-0.1075702303159203,0.007230430682175416,1.0
In,-0.1072282075493888,0.007241813602015114,1.0
In,-0.1071230647034122,0.007244094488188977,1.0
In,-0.1066515524708248,0.007246376811594203,1.0
In,-0.1063165549927752,0.007248660573589662,1.0
In,-0.1062886851420777,0.007250945775535939,1.0
In,-0.1060283593676978,0.007262393432270287,1.0
In,-0.1054632165093547,0.00733652312599681,1.0
In,-0.1047995018074798,0.007338864071474154,1.0
In,-0.1043251213171554,0.007341206511330993,1.0
In,-0.1043013721728989,0.007369432874078821,1.0
In,-0.1038377378420175,0.007371794871794872,1.0
In,-0.1038164465188632,0.0073765234124438745,1.0
In,-0.1037984746211593,0.007393121182899389,1.0
In,-0.1036054471291936,0.0074554294975688815,1.0
In,-0.1035267625866435,0.007469957778499512,1.0
In,-0.1035139029964669,0.007489417127971344,1.0
In,-0.1032570719912073,0.00749185667752443,1.0
In,-0.1028905635901026,0.007494297816878462,1.0
In,-0.1026291114777283,0.007499184871209651,1.0
In,-0.1024519412957743,0.007501630789302022,1.0
In,-0.1024087371905784,0.0075089781260202415,1.0
In,-0.102378669908439,0.007516339869281046,1.0
In,-0.1023152184826241,0.0075335735342286275,1.0
In,-0.1021072326987852,0.0075558475689881735,1.0
In,-0.1020835686608604,0.007605820105820105,1.0
In,-0.1012208979732303,0.007608336089976844,1.0
In,-0.1011616923956152,0.0076184166942696255,1.0
In,-0.1011078534873076,0.007620941020543406,1.0
In,-0.1006842555778266,0.007623467020218761,1.0
In,-0.1004775390987565,0.007631055076310551,1.0
In,-0.1002211256225805,0.007659007659007659,1.0
In,-0.1000710876019795,0.007671781187458306,1.0
In,-0.0997431572821054,0.007682030728122912,1.0
In,-0.0996050216877596,0.007694881231180997,1.0
In,-0.0995911474010852,0.007697456492637216,1.0
In,-0.0994530200686671,0.007705192629815745,1.0
In,-0.0992340689953043,0.0077181208053691275,1.0
In,-0.0991315243190515,0.007720711648204095,1.0
In,-0.0990931413934109,0.007728494623655914,1.0
In,-0.098782275940494,0.007744107744107744,1.0
In,-0.0984731604544175,0.008633633633633633,1.0
In,-0.0982675319709703,0.008682521706304265,1.0
In,-0.0982405290949702,0.008685800604229608,1.0
In,-0.0981736245906405,0.008689081979599547,1.0
In,-0.0981582932094822,0.008692365835222978,1.0
In,-0.0977087737066624,0.008695652173913044,1.0
In,-0.0976992062104757,0.00870223231176693,1.0
In,-0.0975472277180274,0.00870552611657835,1.0
In,-0.0973870833216066,0.008715422508525956,1.0
In,-0.0973062516693167,0.008725341426403643,1.0
In,-0.0971412734117426,0.00872865275142315,1.0
In,-0.0971037546353769,0.008735282947208508,1.0
In,-0.0969893676921303,0.008738601823708206,1.0
In,-0.0969619231866436,0.008741923223109084,1.0
In,-0.0968676958261504,0.008755234107346783,1.0
In,-0.0967943374613494,0.008758568164508759,1.0
In,-0.0965894792546783,0.008761904761904762,1.0
In,-0.0962837066420374,0.008765243902439025,1.0
In,-0.0962686802099604,0.008768585589020206,1.0
In,-0.0961355346012018,0.008771929824561403,1.0
In,-0.096077123776841,0.00877527661198016,1.0
In,-0.0954350408717178,0.00887688151292937,1.0
In,-0.0952526825528053,0.00888030888030888,1.0
In,-0.0947946441115151,0.008883738895326381,1.0
In,-0.0945994687264037,0.008914728682170543,1.0
In,-0.0945410023526411,0.008918185343156262,1.0
In,-0.0942404838627616,0.008921644685802949,1.0
In,-0.0935544555248509,0.008928571428571428,1.0
In,-0.0931452566595226,0.008935508935508936,1.0
In,-0.0930164558002424,0.008945935433683392,1.0
In,-0.0922958582264432,0.00894941634241245,1.0
In,-0.0921432620432474,0.008952899961074349,1.0
In,-0.0919890173373745,0.00895638629283489,1.0
In,-0.0918459532741964,0.008959875340864823,1.0
In,-0.0917112638471076,0.009012539184952978,1.0
In,-0.0916907217611546,0.00901607212857703,1.0
In,-0.0915126053325926,0.009019607843137255,1.0
In,-0.0914252258262264,0.009023146331894862,1.0
In,-0.0913954123505001,0.009030231645072634,1.0
In,-0.0912168672767329,0.009040880503144654,1.0
In,-0.0911696951932564,0.009080142123963679,1.0
In,-0.0908878971506039,0.009083728278041074,1.0
In,-0.0908468403032924,0.00909090909090909,1.0
In,-0.0907756266247858,0.009094503756425464,1.0
In,-0.0903716412312961,0.009098101265822785,1.0
In,-0.0903337279530384,0.009123363744545815,1.0
In,-0.0902916478283909,0.009319286871961102,1.0
In,-0.0898959412963168,0.00934959349593496,1.0
In,-0.0897734273926266,0.00935720097640358,1.0
In,-0.0897294202029829,0.009364820846905538,1.0
In,-0.0896533840316554,0.009372453137734311,1.0
In,-0.0896035101447493,0.009376273950264982,1.0
In,-0.089371508211462,0.009380097879282219,1.0
In,-0.0892964694289654,0.009387755102040816,1.0
In,-0.0889709666830228,0.009395424836601307,1.0
In,-0.0887621822519506,0.00944558521560575,1.0
In,-0.0887511398951273,0.009457236842105263,1.0
In,-0.0885251061118899,0.009465020576131687,1.0
In,-0.0883805892556605,0.009511993382961124,1.0
In,-0.0883641016695481,0.009515928837401738,1.0
In,-0.0881918969816685,0.00953961012028204,1.0
In,-0.0876982893586486,0.009543568464730291,1.0
In,-0.0876810140203434,0.009551495016611296,1.0
In,-0.0875197936645816,0.009555463232239303,1.0
In,-0.0874948169740949,0.009583333333333333,1.0
In,-0.0873823264483741,0.009587328053355566,1.0
In,-0.0872300569017006,0.009591326105087573,1.0
In,-0.0870240247340889,0.009599332220367279,1.0
In,-0.086710394555698,0.009631490787269681,1.0
In,-0.0866312644264809,0.009639564124056999,1.0
In,-0.0866276307021783,0.009643605870020965,1.0
In,-0.086582906912784,0.00964765100671141,1.0
In,-0.0865711334855661,0.009651699538396978,1.0
In,-0.086288196619061,0.00968421052631579,1.0
In,-0.0861839183943446,0.009688289806234204,1.0
In,-0.0861835897659091,0.00969237252423093,1.0
In,-0.0858471314346703,0.00985432733504713,1.0
In,-0.0857843432621143,0.009871244635193134,1.0
In,-0.0853137258059454,0.009879725085910653,1.0
In,-0.0852340860271929,0.009883970777825527,1.0
In,-0.0852211206635992,0.01001306051371354,1.0
In,-0.0852146189361681,0.010017421602787456,1.0
In,-0.0851241636061682,0.01002615518744551,1.0
In,-0.0849849490998826,0.01003052769297863,1.0
In,-0.0849550078675013,0.010034904013961605,1.0
In,-0.084886345991628,0.01010989010989011,1.0
In,-0.0846751885818857,0.010114335971855761,1.0
In,-0.0842225340151334,0.010123239436619719,1.0
In,-0.0841967730607546,0.010127697049757816,1.0
In,-0.0836545499063546,0.010136624063464082,1.0
In,-0.0835360026073808,0.010141093474426807,1.0
In,-0.0834733623681629,0.010145566828407587,1.0
In,-0.0834596229405819,0.010150044130626656,1.0
In,-0.0834465552602489,0.010304659498207885,1.0
In,-0.0833035743377008,0.01031390134529148,1.0
In,-0.0829112699235366,0.01031852848811126,1.0
In,-0.0828112960883349,0.010323159784560144,1.0
In,-0.0825966850037028,0.010327795240233499,1.0
In,-0.0824496013194907,0.010332434860736747,1.0
In,-0.0823807121476974,0.010341726618705036,1.0
In,-0.0823590365904272,0.01036036036036036,1.0
In,-0.082076971851104,0.010365029292474088,1.0
In,-0.0820337223066001,0.01038374717832957,1.0
In,-0.0819059292707499,0.010435571687840291,1.0
