injection_id,series,type,start_idx,start_timestamp,duration,magnitude,final_magnitude,frozen_at,threshold,baseline_alarm_timestamp,irreversibility_timestamp,baseline_lead_time_s,baseline_lead_time_min
out_step_000,Out,step,59789,2018-10-18 14:52:00,7,9.388784397520524,9.388784397520524,,47.6993,2018-10-18 14:52:00,,,
out_step_001,Out,step,66318,2018-11-17 13:25:00,16,11.973680290593638,11.973680290593638,,47.6993,2018-11-17 13:25:00,2018-11-17 13:25:00,0.0,0.0
out_step_002,Out,step,7288,2018-09-09 15:17:00,10,14.75622351636756,14.75622351636756,,47.6993,,,,
out_step_003,Out,step,58786,2018-10-18 14:08:00,24,12.860643052769538,12.860643052769538,,47.6993,2018-10-18 14:08:00,,,
out_step_004,Out,step,9908,2018-09-10 10:05:00,18,9.50385937895567,9.50385937895567,,47.6993,,,,
out_drift_005,Out,drift,28648,2018-09-22 03:55:00,18,0.0,18.90147483272903,,47.6993,2018-09-22 04:13:00,2018-09-22 04:13:00,0.0,0.0
out_drift_006,Out,drift,49730,2018-10-17 20:14:00,25,0.0,17.341424199062452,,47.6993,2018-10-17 20:15:00,,,
out_drift_007,Out,drift,34255,2018-10-17 05:20:00,19,0.0,8.408580826771654,,47.6993,,,,
out_drift_008,Out,drift,42846,2018-10-17 14:42:00,7,0.0,5.95725884156263,,47.6993,,,,
out_drift_009,Out,drift,63918,2018-10-30 01:59:00,27,0.0,14.474965986830972,,47.6993,2018-10-30 03:03:00,2018-10-30 03:03:00,0.0,0.0
out_flatline_010,Out,flatline,58562,2018-10-18 13:58:00,9,,,43.0,47.6993,2018-10-18 14:08:00,,,
out_flatline_011,Out,flatline,27390,2018-09-15 18:30:00,23,,,31.0,47.6993,,,,
out_flatline_012,Out,flatline,74984,2018-12-04 21:03:00,6,,,37.0,47.6993,,,,
out_flatline_013,Out,flatline,68984,2018-11-25 01:14:00,16,,,36.0,47.6993,,,,
out_flatline_014,Out,flatline,60119,2018-10-18 15:06:00,22,,,40.0,47.6993,,,,
in_step_015,In,step,3966,2018-09-07 14:55:00,24,9.667210037270342,9.667210037270342,,34.9301,2018-09-07 14:55:00,2018-09-07 14:55:00,0.0,0.0
in_step_016,In,step,904,2018-08-16 07:15:00,17,6.542894920675479,6.542894920675479,,34.9301,2018-08-16 07:15:00,,,
in_step_017,In,step,13880,2018-09-27 05:04:00,24,12.447621559078172,12.447621559078172,,34.9301,2018-09-27 05:04:00,2018-09-27 05:04:00,0.0,0.0
in_step_018,In,step,19665,2018-12-07 17:14:00,14,8.25825358138152,8.25825358138152,,34.9301,2018-12-07 17:14:00,2018-12-07 17:14:00,0.0,0.0
in_step_019,In,step,7533,2018-09-10 14:19:00,28,9.69555811275808,9.69555811275808,,34.9301,2018-09-10 14:19:00,2018-09-10 14:19:00,0.0,0.0
in_drift_020,In,drift,3861,2018-09-06 14:10:00,25,0.0,6.948822580032075,,34.9301,,,,
in_drift_021,In,drift,9672,2018-09-11 13:55:00,22,0.0,8.403640235763262,,34.9301,2018-09-11 13:56:00,,,
in_drift_022,In,drift,13615,2018-09-24 21:11:00,19,0.0,11.55727878308496,,34.9301,2018-09-25 00:34:00,2018-09-25 00:34:00,0.0,0.0
in_drift_023,In,drift,16930,2018-11-02 07:41:00,9,0.0,15.503976530033738,,34.9301,2018-11-02 08:07:00,2018-11-02 08:07:00,0.0,0.0
in_drift_024,In,drift,6361,2018-09-10 10:02:00,7,0.0,17.483897020928016,,34.9301,2018-09-10 10:02:00,,,
in_flatline_025,In,flatline,16358,2018-10-27 08:46:00,16,,,33.0,34.9301,,,,
in_flatline_026,In,flatline,7880,2018-09-10 15:29:00,26,,,30.0,34.9301,,,,
in_flatline_027,In,flatline,5866,2018-09-10 08:41:00,28,,,31.0,34.9301,,,,
in_flatline_028,In,flatline,12949,2018-09-15 19:40:00,11,,,28.0,34.9301,,,,
in_flatline_029,In,flatline,4076,2018-09-07 15:52:00,8,,,30.0,34.9301,,,,
