series,threshold,precision,recall
In,9.45060164667666e-05,0.006153023006955591,1.0
In,0.00030233318102546036,0.006154669521006155,1.0
In,0.00033717177575454116,0.006156316916488222,1.0
In,0.00035276240669190884,0.006157965194109772,1.0
In,0.00045383034739643335,0.006159614354579539,1.0
In,0.0005410310695879161,0.0061612643986070185,1.0
In,0.0006040484295226634,0.006162915326902465,1.0
In,0.0006641590152867138,0.006164567140176896,1.0
In,0.0008259201422333717,0.0061662198391420914,1.0
In,0.0008510527550242841,0.006167873424510592,1.0
In,0.00089373963419348,0.006169527896995708,1.0
In,0.0009509603260084987,0.006171183257311511,1.0
In,0.000964424863923341,0.006172839506172839,1.0
In,0.0009671662119217217,0.006174496644295302,1.0
In,0.0009765411959961057,0.006176154672395274,1.0
In,0.0010228935861960053,0.006177813591189901,1.0
In,0.0010620864341035485,0.006179473401397098,1.0
In,0.0012147019151598215,0.006181134103735555,1.0
In,0.0012472597882151604,0.006182795698924731,1.0
In,0.0012795865768566728,0.006184458187684862,1.0
In,0.0013030340196564794,0.006186121570736955,1.0
In,0.0013277524849399924,0.006187785848802798,1.0
In,0.0013715052045881748,0.006189451022604951,1.0
In,0.00140814995393157,0.006191117092866756,1.0
In,0.0015141202602535486,0.006192784060312331,1.0
In,0.0017038859659805894,0.0061944519256665765,1.0
In,0.0017779243644326925,0.006196120689655173,1.0
In,0.0017959258984774351,0.006197790353004581,1.0
In,0.0019649160094559193,0.0061994609164420485,1.0
In,0.0020044553093612194,0.006201132380695605,1.0
In,0.0021883181761950254,0.006202804746494067,1.0
In,0.002280967542901635,0.006204478014567035,1.0
In,0.002301344648003578,0.0062061521856449,1.0
In,0.002311118645593524,0.006207827260458839,1.0
In,0.002375392010435462,0.006209503239740821,1.0
In,0.0023780250921845436,0.006211180124223602,1.0
In,0.002394414274021983,0.006212857914640735,1.0
In,0.0024647549726068974,0.006214536611726561,1.0
In,0.002501017414033413,0.006216216216216216,1.0
In,0.002543415641412139,0.006217896728845634,1.0
In,0.0025641582906246185,0.006219578150351541,1.0
In,0.0025966856628656387,0.0062212604814714636,1.0
In,0.0026034917682409286,0.006222943722943723,1.0
In,0.002623743610456586,0.0062246278755074425,1.0
In,0.0026596456300467253,0.006226312939902545,1.0
In,0.002681409940123558,0.006227998916869754,1.0
In,0.0027150376699864864,0.006229685807150596,1.0
In,0.0027259329799562693,0.006231373611487402,1.0
In,0.002888248534873128,0.006233062330623307,1.0
In,0.0028940776828676462,0.00623475196530225,1.0
In,0.002950475551187992,0.006236442516268981,1.0
In,0.0029976186342537403,0.006238133984269053,1.0
In,0.003082660725340247,0.006239826370048833,1.0
In,0.0030968384817242622,0.006241519674355495,1.0
In,0.0031519941985607147,0.006243213897937025,1.0
In,0.003322659293189645,0.006244909041542221,1.0
In,0.003393136663362384,0.0062466051059206955,1.0
In,0.003438818734139204,0.006248302091822874,1.0
In,0.003515643533319235,0.00625,1.0
In,0.0036019454710185528,0.0062516988312041315,1.0
In,0.0036229086108505726,0.006253398586188146,1.0
In,0.0037041432224214077,0.006255099265705739,1.0
In,0.0037756608799099922,0.006256800870511426,1.0
In,0.004320243373513222,0.006258503401360544,1.0
In,0.004358879290521145,0.006260206859009254,1.0
In,0.004359656013548374,0.0062619112442145386,1.0
In,0.004465532023459673,0.006263616557734205,1.0
In,0.00447577890008688,0.006265322800326887,1.0
In,0.004517427179962397,0.006267029972752043,1.0
In,0.0047044912353158,0.006268738075769964,1.0
In,0.004771004430949688,0.0062704471101417665,1.0
In,0.004839886911213398,0.006272157076629398,1.0
In,0.004938132129609585,0.006273867975995636,1.0
In,0.004969887901097536,0.006275579809004093,1.0
In,0.005139138549566269,0.006277292576419214,1.0
In,0.0052679721266031265,0.006279006279006279,1.0
In,0.005299472715705633,0.006280720917531403,1.0
In,0.0053024087101221085,0.0062824364927615405,1.0
In,0.005325722508132458,0.006284153005464481,1.0
In,0.005338216666132212,0.006285870456408855,1.0
In,0.005365361459553242,0.0062875888463641335,1.0
In,0.005621552001684904,0.006289308176100629,1.0
In,0.0059072417207062244,0.006291028446389497,1.0
In,0.0060440716333687305,0.006292749658002736,1.0
In,0.0060976785607635975,0.006294471811713191,1.0
In,0.006124371662735939,0.006296194908294552,1.0
In,0.006138134747743607,0.006297918948521358,1.0
In,0.006210587453097105,0.006299643933168995,1.0
In,0.006353807169944048,0.006301369863013699,1.0
In,0.0063970647752285,0.006303096738832557,1.0
In,0.006545079872012138,0.006304824561403508,1.0
In,0.006573204882442951,0.006306553331505347,1.0
In,0.006710551679134369,0.006308283049917718,1.0
In,0.0067118871957063675,0.006310013717421125,1.0
In,0.006746665108948946,0.006311745334796927,1.0
In,0.0068466742523014545,0.00631347790282734,1.0
In,0.006880715489387512,0.006315211422295442,1.0
In,0.006981666199862957,0.006316945893985169,1.0
In,0.0070894150994718075,0.006318681318681319,1.0
In,0.007162609603255987,0.006320417697169552,1.0
In,0.007172035053372383,0.0063221550302363936,1.0
In,0.007244683336466551,0.006323893318669233,1.0
In,0.007404133211821318,0.0063256325632563256,1.0
In,0.007491534575819969,0.006327372764786795,1.0
In,0.007590563036501408,0.006329113924050633,1.0
In,0.007804936729371548,0.006330856041838701,1.0
In,0.007834859192371368,0.006332599118942731,1.0
In,0.008106786757707596,0.006334343156155329,1.0
In,0.008159948512911797,0.006336088154269973,1.0
In,0.008172566071152687,0.006337834114081014,1.0
In,0.00830785185098648,0.006339581036383682,1.0
In,0.00831589661538601,0.006341328921974083,1.0
In,0.008416352793574333,0.0063430777716492,1.0
In,0.008546394295990467,0.006344827586206896,1.0
In,0.008622058667242527,0.0063465783664459164,1.0
In,0.008635244332253933,0.006348330113165885,1.0
In,0.008685334585607052,0.006350082827167311,1.0
In,0.008727164939045906,0.0063518365092515875,1.0
In,0.008770209737122059,0.006353591160220995,1.0
In,0.008839065209031105,0.0063553467808786955,1.0
In,0.009000608697533607,0.006357103372028745,1.0
In,0.009018723852932453,0.006358860934476085,1.0
In,0.009112321771681309,0.006360619469026549,1.0
In,0.009270141832530499,0.00636237897648686,1.0
In,0.009335745126008987,0.0063641394576646375,1.0
In,0.00934690423309803,0.006365900913368392,1.0
In,0.00942024402320385,0.00636766334440753,1.0
In,0.009720340371131897,0.006369426751592357,1.0
In,0.009946485050022602,0.006371191135734072,1.0
In,0.009987899102270603,0.006372956497644777,1.0
In,0.010001730173826218,0.006374722838137472,1.0
In,0.010071659460663795,0.00637649015802606,1.0
In,0.010091939941048622,0.006378258458125347,1.0
In,0.010163255967199802,0.0063800277392510405,1.0
In,0.010168914683163166,0.006381798002219756,1.0
In,0.010191362351179123,0.006383569247849014,1.0
In,0.01023176684975624,0.006385341476957246,1.0
In,0.01035215426236391,0.006387114690363788,1.0
In,0.010406136512756348,0.006388888888888889,1.0
In,0.010465826839208603,0.006390664073353709,1.0
In,0.010501866228878498,0.006392440244580322,1.0
In,0.010723866522312164,0.006394217403391716,1.0
In,0.010893907397985458,0.006395995550611791,1.0
In,0.010942131280899048,0.006397774687065368,1.0
In,0.010952197946608067,0.006399554813578186,1.0
In,0.011045955121517181,0.0064013359309769,1.0
In,0.01115494966506958,0.006403118040089087,1.0
In,0.011218834668397903,0.006404901141743247,1.0
In,0.011238669976592064,0.006406685236768802,1.0
In,0.011244421824812889,0.006408470325996099,1.0
In,0.011300910264253616,0.00641025641025641,1.0
In,0.011306279338896275,0.006412043490381935,1.0
In,0.011341633275151253,0.006413831567205801,1.0
In,0.011419100686907768,0.006415620641562064,1.0
In,0.011423402465879917,0.006417410714285714,1.0
In,0.011528382077813148,0.006419201786212671,1.0
In,0.011590411886572838,0.0064209938581797875,1.0
In,0.01187795028090477,0.006422786931024853,1.0
In,0.011878757737576962,0.006424581005586592,1.0
In,0.011991342529654503,0.006426376082704666,1.0
In,0.011997777968645096,0.006428172163219676,1.0
In,0.012006400153040886,0.006429969247973162,1.0
In,0.012036744505167007,0.006431767337807606,1.0
In,0.012106165289878845,0.0064335664335664336,1.0
In,0.012123160064220428,0.006435366536094013,1.0
In,0.01218676008284092,0.006437167646235657,1.0
In,0.012191611342132092,0.006438969764837626,1.0
In,0.012369407340884209,0.00644077289274713,1.0
In,0.012381359934806824,0.006442577030812325,1.0
In,0.01243281178176403,0.00644438217988232,1.0
In,0.012471292167901993,0.006446188340807175,1.0
In,0.01247582770884037,0.006447995514437903,1.0
In,0.012571431696414948,0.006449803701626472,1.0
In,0.012653053738176823,0.0064516129032258064,1.0
In,0.012705410830676556,0.006453423120089787,1.0
In,0.01271097268909216,0.006455234353073253,1.0
In,0.012858724221587181,0.006457046603032005,1.0
In,0.012888738885521889,0.006458859870822803,1.0
In,0.012891572900116444,0.0064606741573033704,1.0
In,0.012968061491847038,0.006462489463332397,1.0
In,0.013016708195209503,0.006464305789769534,1.0
In,0.013054920360445976,0.006466123137475401,1.0
In,0.013089526444673538,0.0064679415073115865,1.0
In,0.01322051789611578,0.006469760900140647,1.0
In,0.013427581638097763,0.006471581316826111,1.0
In,0.01342782098799944,0.00647340275823248,1.0
In,0.013559027574956417,0.006475225225225225,1.0
In,0.013568038120865822,0.006477048718670797,1.0
In,0.013574644923210144,0.006478873239436619,1.0
In,0.013603581115603447,0.006480698788391096,1.0
In,0.013646053150296211,0.006482525366403607,1.0
In,0.013794572092592716,0.006484352974344516,1.0
In,0.013927449472248554,0.0064861816130851666,1.0
In,0.013972293585538864,0.006488011283497884,1.0
In,0.01406063511967659,0.006489841986455982,1.0
In,0.014228973537683487,0.006491673722833756,1.0
In,0.014238386414945126,0.006493506493506494,1.0
In,0.014253002591431141,0.006495340299350466,1.0
In,0.014314403757452965,0.0064971751412429375,1.0
In,0.014450355432927608,0.0064990110200621645,1.0
In,0.01452524121850729,0.006500847936687394,1.0
In,0.01460077241063118,0.006502685891998869,1.0
In,0.014709831215441227,0.006504524886877828,1.0
In,0.014756202697753906,0.006506364922206506,1.0
In,0.014827955514192581,0.006508205998868138,1.0
In,0.014909809455275536,0.006510048117746957,1.0
In,0.014910951256752014,0.0065118912797281995,1.0
In,0.014911454170942307,0.006513735485698103,1.0
In,0.015263991430401802,0.006515580736543909,1.0
In,0.015374868176877499,0.006517427033153868,1.0
In,0.01545247994363308,0.006519274376417234,1.0
In,0.015478378161787987,0.00652112276722427,1.0
In,0.015494451858103275,0.0065229722064662505,1.0
In,0.01563977263867855,0.006524822695035461,1.0
In,0.015641432255506516,0.0065266742338251985,1.0
In,0.015850672498345375,0.006528526823729776,1.0
In,0.015862582251429558,0.00653038046564452,1.0
In,0.015917541459202766,0.006532235160465777,1.0
In,0.015979334712028503,0.006534090909090909,1.0
In,0.016082677990198135,0.006535947712418301,1.0
In,0.01618773862719536,0.006537805571347356,1.0
In,0.01624377630650997,0.006539664486778504,1.0
In,0.016278183087706566,0.006541524459613196,1.0
In,0.016388481482863426,0.006543385490753912,1.0
In,0.016456497833132744,0.006545247581104155,1.0
In,0.01653621718287468,0.00654711073156846,1.0
In,0.01657102443277836,0.006548974943052392,1.0
In,0.016677865758538246,0.006550840216462546,1.0
In,0.016769565641880035,0.0065527065527065526,1.0
In,0.016878953203558922,0.006554573952693075,1.0
In,0.016920339316129684,0.006556442417331813,1.0
In,0.01692175306379795,0.006558311947533505,1.0
In,0.01710091531276703,0.006560182544209926,1.0
In,0.017124537378549576,0.006562054208273894,1.0
In,0.01712961122393608,0.006563926940639269,1.0
In,0.017184851691126823,0.006565800742220953,1.0
In,0.017279043793678284,0.0065676756139348945,1.0
In,0.01738796941936016,0.006569551556698086,1.0
In,0.017394844442605972,0.006571428571428572,1.0
In,0.017440110445022583,0.006573306659045442,1.0
In,0.01747661456465721,0.0065751858204688395,1.0
In,0.017541376873850822,0.00657706605661996,1.0
In,0.01759200170636177,0.006578947368421052,1.0
In,0.0178285650908947,0.006580829756795422,1.0
In,0.01787007972598076,0.00658271322266743,1.0
In,0.01788380742073059,0.006584597766962496,1.0
In,0.01789357140660286,0.006586483390607102,1.0
In,0.017973551526665688,0.006588370094528788,1.0
In,0.017986703664064407,0.006590257879656161,1.0
In,0.01799039915204048,0.006592146746918888,1.0
In,0.018000967800617218,0.006594036697247707,1.0
In,0.018034590408205986,0.00659592773157442,1.0
In,0.018101917579770088,0.006597819850831899,1.0
In,0.018307426944375038,0.006599713055954089,1.0
In,0.018397044390439987,0.006601607347876005,1.0
In,0.01848943531513214,0.006603502727533735,1.0
In,0.018525928258895874,0.006605399195864446,1.0
In,0.01856864243745804,0.006607296753806378,1.0
In,0.018740804865956306,0.0066091954022988505,1.0
In,0.0189041905105114,0.006611095142282265,1.0
In,0.019000113010406494,0.006612995974698103,1.0
In,0.01911212131381035,0.006614897900488927,1.0
In,0.019123516976833344,0.006616800920598389,1.0
In,0.019241835922002792,0.006618705035971223,1.0
In,0.019249780103564262,0.006620610247553253,1.0
In,0.019300345331430435,0.006622516556291391,1.0
In,0.01931019499897957,0.0066244239631336405,1.0
In,0.0193557757884264,0.006626332469029098,1.0
In,0.019360844045877457,0.006628242074927954,1.0
In,0.019381731748580933,0.006630152781781493,1.0
In,0.019624799489974976,0.0066320645905421,1.0
In,0.019823789596557617,0.006633977502163254,1.0
In,0.019831445068120956,0.006635891517599538,1.0
In,0.019899437204003334,0.006637806637806638,1.0
In,0.01994342729449272,0.0066397228637413395,1.0
In,0.020013634115457535,0.006641640196361536,1.0
In,0.020016159862279892,0.006643558636626227,1.0
In,0.02007422409951687,0.0066454781854955215,1.0
In,0.02011180855333805,0.006647398843930636,1.0
In,0.020196903496980667,0.0066493206128939,1.0
In,0.020269278436899185,0.006651243493348756,1.0
In,0.020316654816269875,0.006653167486259763,1.0
In,0.020391013473272324,0.006655092592592593,1.0
In,0.020456762984395027,0.0066570188133140374,1.0
In,0.02070099301636219,0.006658946149392009,1.0
In,0.020729374140501022,0.00666087460179554,1.0
In,0.020767655223608017,0.006662804171494786,1.0
In,0.02080680802464485,0.006664734859461026,1.0
In,0.020926959812641144,0.006666666666666667,1.0
In,0.02094099298119545,0.006668599594085242,1.0
In,0.020975057035684586,0.006670533642691415,1.0
In,0.021316103637218475,0.006672468813460981,1.0
In,0.02148326300084591,0.006674405107370864,1.0
In,0.021685851737856865,0.006676342525399129,1.0
In,0.021743500605225563,0.006678281068524971,1.0
In,0.021745087578892708,0.006680220737728725,1.0
In,0.021879399195313454,0.006682161533991865,1.0
In,0.02191295102238655,0.0066841034582970065,1.0
In,0.021918252110481262,0.006686046511627907,1.0
In,0.02195371314883232,0.006687990694969468,1.0
In,0.021993586793541908,0.006689936009307737,1.0
In,0.022025881335139275,0.00669188245562991,1.0
In,0.022105250507593155,0.00669383003492433,1.0
In,0.022158971056342125,0.006695778748180495,1.0
In,0.02226831391453743,0.006697728596389051,1.0
In,0.022269830107688904,0.0066996795805418004,1.0
In,0.02229459583759308,0.006701631701631702,1.0
In,0.022381598129868507,0.006703584960652871,1.0
In,0.022500282153487206,0.006705539358600583,1.0
In,0.022509843111038208,0.006707494896471274,1.0
