id,room_id/id,noted_date,temp,out/in,ts,gap_seconds,rolling_mean,rolling_std,in_out_diff,temp_injected,is_injected_anomaly,injection_type
__export__.temp_log_141279_6e636d84,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,,32.0,,1.0,32.0,False,
__export__.temp_log_151558_e173cfc0,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_95772_5455265d,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_99990_0866b052,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_106366_5b89332c,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_128809_5b2685b6,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_111718_05b8d88d,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_124155_da310d7b,Room Admin,28-07-2018 07:07,32,Out,2018-07-28 07:07:00,0.0,32.0,0.0,1.0,32.0,False,
__export__.temp_log_147191_45657027,Room Admin,28-07-2018 07:08,31,Out,2018-07-28 07:08:00,60.0,31.88888888888889,0.3333333333333334,0.0,31.0,False,
__export__.temp_log_98383_615cf2dc,Room Admin,28-07-2018 07:09,33,Out,2018-07-28 07:09:00,60.0,32.0,0.4714045207910317,2.0,33.0,False,
__export__.temp_log_148010_12bbd064,Room Admin,28-07-2018 07:09,32,Out,2018-07-28 07:09:00,0.0,32.0,0.4714045207910317,1.0,32.0,False,
__export__.temp_log_110367_470f2cf0,Room Admin,28-07-2018 07:14,32,Out,2018-07-28 07:14:00,300.0,32.0,0.4714045207910317,1.0,32.0,False,
__export__.temp_log_125732_d7c70b7b,Room Admin,28-07-2018 07:14,32,Out,2018-07-28 07:14:00,0.0,32.0,0.4714045207910317,1.0,32.0,False,
__export__.temp_log_114516_38f9fcc0,Room Admin,28-07-2018 07:15,32,Out,2018-07-28 07:15:00,60.0,32.0,0.4714045207910317,1.0,32.0,False,
__export__.temp_log_128245_8e2d537f,Room Admin,28-07-2018 07:16,32,Out,2018-07-28 07:16:00,0.0,31.7,0.4830458915396465,1.0,32.0,False,
__export__.temp_log_129653_822d9ba8,Room Admin,28-07-2018 07:16,32,Out,2018-07-28 07:16:00,0.0,31.7,0.4830458915396465,1.0,32.0,False,
__export__.temp_log_141865_a5613434,Room Admin,28-07-2018 07:16,32,Out,2018-07-28 07:16:00,0.0,31.7,0.4830458915396465,1.0,32.0,False,
__export__.temp_log_155250_0e1803d6,Room Admin,28-07-2018 07:16,31,Out,2018-07-28 07:16:00,0.0,31.8,0.6324555320336752,0.0,31.0,False,
__export__.temp_log_120402_14ac02b7,Room Admin,28-07-2018 07:16,32,Out,2018-07-28 07:16:00,0.0,31.8,0.6324555320336752,1.0,32.0,False,
__export__.temp_log_148439_d361d3c8,Room Admin,28-07-2018 07:16,31,Out,2018-07-28 07:16:00,0.0,31.8,0.6324555320336752,0.0,31.0,False,
__export__.temp_log_152995_c22dce3b,Room Admin,28-07-2018 07:16,32,Out,2018-07-28 07:16:00,0.0,31.9,0.5676462121975466,1.0,32.0,False,
__export__.temp_log_147077_ae461167,Room Admin,28-07-2018 07:16,31,Out,2018-07-28 07:16:00,60.0,31.9,0.5676462121975466,0.0,31.0,False,
__export__.temp_log_127137_3f935b7d,Room Admin,28-07-2018 07:17,32,Out,2018-07-28 07:17:00,60.0,31.7,0.4830458915396465,1.0,32.0,False,
__export__.temp_log_118668_e3a1a822,Room Admin,28-07-2018 07:17,32,Out,2018-07-28 07:17:00,0.0,31.7,0.4830458915396465,1.0,32.0,False,
__export__.temp_log_99083_a4ce2479,Room Admin,28-07-2018 07:17,32,Out,2018-07-28 07:17:00,0.0,31.8,0.4216370213557822,1.0,32.0,False,
__export__.temp_log_100909_eef95064,Room Admin,28-07-2018 07:18,32,Out,2018-07-28 07:18:00,0.0,31.9,0.3162277660168355,1.0,32.0,False,
__export__.temp_log_92861_8da3a21c,Room Admin,28-07-2018 07:18,32,Out,2018-07-28 07:18:00,0.0,31.8,0.4216370213557822,1.0,32.0,False,
__export__.temp_log_119409_f9ee5096,Room Admin,28-07-2018 07:18,32,Out,2018-07-28 07:18:00,60.0,31.8,0.4216370213557822,1.0,32.0,False,
__export__.temp_log_90041_5012a5e8,Room Admin,28-07-2018 07:18,31,Out,2018-07-28 07:18:00,0.0,31.8,0.4216370213557822,0.0,31.0,False,
__export__.temp_log_112094_61e2ccfd,Room Admin,28-07-2018 07:19,31,Out,2018-07-28 07:19:00,60.0,31.8,0.4216370213557813,0.0,31.0,False,
__export__.temp_log_149070_46b6975f,Room Admin,28-07-2018 07:19,32,Out,2018-07-28 07:19:00,0.0,31.8,0.4216370213557813,1.0,32.0,False,
__export__.temp_log_136561_1cd224f6,Room Admin,28-07-2018 07:20,31,Out,2018-07-28 07:20:00,60.0,31.7,0.4830458915396449,0.0,31.0,False,
__export__.temp_log_115371_db05d25a,Room Admin,28-07-2018 07:20,32,Out,2018-07-28 07:20:00,0.0,31.7,0.4830458915396449,1.0,32.0,False,
__export__.temp_log_107158_1576d6f6,Room Admin,28-07-2018 07:21,31,Out,2018-07-28 07:21:00,0.0,31.6,0.5163977794943183,0.0,31.0,False,
__export__.temp_log_125912_9831a886,Room Admin,28-07-2018 07:21,32,Out,2018-07-28 07:21:00,60.0,31.7,0.4830458915396449,1.0,32.0,False,
__export__.temp_log_139992_c364c7c2,Room Admin,28-07-2018 07:24,32,Out,2018-07-28 07:24:00,0.0,31.6,0.5163977794943183,1.0,32.0,False,
__export__.temp_log_112728_6f167945,Room Admin,28-07-2018 07:24,31,Out,2018-07-28 07:24:00,180.0,31.5,0.527046276694725,0.0,31.0,False,
__export__.temp_log_125825_e729aa10,Room Admin,28-07-2018 07:26,31,Out,2018-07-28 07:26:00,120.0,31.5,0.527046276694725,0.0,31.0,False,
__export__.temp_log_103937_ef164546,Room Admin,28-07-2018 07:26,32,Out,2018-07-28 07:26:00,0.0,31.5,0.527046276694725,1.0,32.0,False,
__export__.temp_log_145991_1c4b65b3,Room Admin,28-07-2018 07:28,32,Out,2018-07-28 07:28:00,120.0,31.6,0.5163977794943183,1.0,32.0,False,
__export__.temp_log_108326_072864ca,Room Admin,28-07-2018 07:28,32,Out,2018-07-28 07:28:00,0.0,31.6,0.5163977794943183,1.0,32.0,False,
__export__.temp_log_102223_12ce885c,Room Admin,28-07-2018 07:28,32,Out,2018-07-28 07:28:00,0.0,31.7,0.4830458915396449,1.0,32.0,False,
__export__.temp_log_105987_def282a4,Room Admin,28-07-2018 07:29,32,Out,2018-07-28 07:29:00,60.0,31.7,0.4830458915396449,1.0,32.0,False,
__export__.temp_log_137367_6dddbd0c,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.3,0.4830458915396406,-2.0,31.0,False,
__export__.temp_log_122384_b6c51a97,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.4,0.5163977794943164,-2.0,31.0,False,
__export__.temp_log_146636_6d032243,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.5,0.527046276694725,-2.0,31.0,False,
__export__.temp_log_107252_5b85b40a,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.6,0.5163977794943183,-2.0,31.0,False,
__export__.temp_log_88527_26fc8593,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.6,0.5163977794943183,-2.0,31.0,False,
__export__.temp_log_111682_8838044d,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,75000.0,31.6,0.5163977794943183,-2.0,31.0,False,
__export__.temp_log_145497_e2477bf1,Room Admin,29-07-2018 04:19,31,Out,2018-07-29 04:19:00,0.0,31.5,0.527046276694725,-2.0,31.0,False,
__export__.temp_log_90034_3526cf8e,Room Admin,29-07-2018 04:21,32,Out,2018-07-29 04:21:00,120.0,31.3,0.4830458915396406,-1.0,32.0,False,
__export__.temp_log_139513_c4769aa6,Room Admin,29-07-2018 04:21,31,Out,2018-07-29 04:21:00,0.0,31.2,0.4216370213557746,-2.0,31.0,False,
__export__.temp_log_120531_82846f92,Room Admin,29-07-2018 04:22,30,Out,2018-07-29 04:22:00,0.0,31.0,0.4714045207910216,-3.0,30.0,False,
__export__.temp_log_134790_5a9ec293,Room Admin,29-07-2018 04:22,31,Out,2018-07-29 04:22:00,60.0,31.1,0.3162277660168243,-2.0,31.0,False,
__export__.temp_log_89315_1d03c538,Room Admin,29-07-2018 04:24,32,Out,2018-07-29 04:24:00,0.0,31.1,0.5676462121975389,-1.0,32.0,False,
__export__.temp_log_135197_268bd332,Room Admin,29-07-2018 04:24,31,Out,2018-07-29 04:24:00,120.0,31.0,0.4714045207910216,-2.0,31.0,False,
__export__.temp_log_132246_977e530d,Room Admin,29-07-2018 04:27,32,Out,2018-07-29 04:27:00,180.0,31.2,0.6324555320336694,0.0,32.0,False,
__export__.temp_log_93806_c739d2a2,Room Admin,29-07-2018 04:27,31,Out,2018-07-29 04:27:00,0.0,31.2,0.6324555320336694,-1.0,31.0,False,
__export__.temp_log_141938_a1a95390,Room Admin,29-07-2018 04:30,33,Out,2018-07-29 04:30:00,180.0,31.4,0.8432740427115643,0.0,33.0,False,
__export__.temp_log_145288_b56c6d5b,Room Admin,29-07-2018 04:30,31,Out,2018-07-29 04:30:00,0.0,31.4,0.8432740427115643,-2.0,31.0,False,
__export__.temp_log_94207_0a2a56a9,Room Admin,31-07-2018 16:20,33,Out,2018-07-31 16:20:00,215400.0,31.5,0.9718253158075472,3.0,33.0,False,
__export__.temp_log_91240_34b4d572,Room Admin,31-07-2018 16:20,32,Out,2018-07-31 16:20:00,0.0,31.6,0.9660917830792936,2.0,32.0,False,
__export__.temp_log_108214_6da39d1a,Room Admin,31-07-2018 16:21,33,Out,2018-07-31 16:21:00,60.0,31.8,1.0327955589886435,3.0,33.0,False,
__export__.temp_log_103193_625edc1c,Room Admin,31-07-2018 16:21,32,Out,2018-07-31 16:21:00,0.0,32.0,0.8164965809277266,2.0,32.0,False,
__export__.temp_log_126951_f127762e,Room Admin,31-07-2018 16:21,33,Out,2018-07-31 16:21:00,0.0,32.2,0.7888106377466187,3.0,33.0,False,
__export__.temp_log_130658_40b5d0d9,Room Admin,31-07-2018 16:21,32,Out,2018-07-31 16:21:00,0.0,32.2,0.7888106377466187,2.0,32.0,False,
__export__.temp_log_96951_a2586ccf,Room Admin,31-07-2018 16:21,31,Out,2018-07-31 16:21:00,0.0,32.1,0.8755950357709144,1.0,31.0,False,
__export__.temp_log_140060_5cf4be33,Room Admin,31-07-2018 16:21,32,Out,2018-07-31 16:21:00,0.0,32.2,0.7888106377466187,2.0,32.0,False,
__export__.temp_log_121229_f4c6e1fe,Room Admin,31-07-2018 16:21,32,Out,2018-07-31 16:21:00,0.0,32.1,0.7378647873726237,2.0,32.0,False,
__export__.temp_log_112340_c8dc5deb,Room Admin,31-07-2018 16:21,33,Out,2018-07-31 16:21:00,0.0,32.3,0.6749485577105596,3.0,33.0,False,
__export__.temp_log_134998_c7a15a4d,Room Admin,31-07-2018 16:21,33,Out,2018-07-31 16:21:00,0.0,32.3,0.6749485577105596,3.0,33.0,False,
__export__.temp_log_101872_3b4b92b0,Room Admin,31-07-2018 16:22,32,Out,2018-07-31 16:22:00,0.0,32.1,0.7378647873726226,2.0,32.0,False,
