injection_id,series,type,train_test_status,detector,live_alarm_timestamp,batch_alarm_timestamp,match,notes
out_step_000,Out,step,train,baseline,2018-10-18 14:52:00,2018-10-18 14:52:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_step_000,Out,step,train,if,2018-10-18 14:52:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_000,Out,step,train,lstm,2018-10-18 14:52:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_001,Out,step,test,baseline,2018-11-17 13:25:00,2018-11-17 13:25:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_step_001,Out,step,test,if,2018-11-17 13:25:00,2018-11-17 13:25:00,True,Exact match with M3 batch test evaluation
out_step_001,Out,step,test,lstm,2018-11-17 13:25:00,2018-11-17 13:25:00,True,Exact match with M4b batch test evaluation; onset post-dates first 29 test rows (unaffected by D23)
out_step_002,Out,step,train,baseline,,,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_step_002,Out,step,train,if,2018-09-09 15:17:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_002,Out,step,train,lstm,2018-09-09 15:17:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_003,Out,step,train,baseline,2018-10-18 14:08:00,2018-10-18 14:08:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_step_003,Out,step,train,if,2018-10-18 14:08:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_003,Out,step,train,lstm,2018-10-18 14:08:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_004,Out,step,train,baseline,,,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_step_004,Out,step,train,if,2018-09-10 10:05:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_step_004,Out,step,train,lstm,2018-09-10 10:05:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_005,Out,drift,train,baseline,2018-09-22 04:13:00,2018-09-22 04:13:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_drift_005,Out,drift,train,if,2018-09-22 03:55:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_005,Out,drift,train,lstm,2018-09-22 04:21:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_006,Out,drift,train,baseline,2018-10-17 20:15:00,2018-10-17 20:15:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_drift_006,Out,drift,train,if,2018-10-17 20:14:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_006,Out,drift,train,lstm,2018-10-17 20:14:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_007,Out,drift,train,baseline,,,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_drift_007,Out,drift,train,if,2018-10-17 05:20:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_007,Out,drift,train,lstm,2018-10-17 05:20:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_008,Out,drift,train,baseline,,,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_drift_008,Out,drift,train,if,2018-10-17 14:42:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_008,Out,drift,train,lstm,2018-10-17 14:42:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_drift_009,Out,drift,test,baseline,2018-10-30 03:03:00,2018-10-30 03:03:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_drift_009,Out,drift,test,if,2018-10-30 01:59:00,2018-10-30 01:59:00,True,Exact match with M3 batch test evaluation
out_drift_009,Out,drift,test,lstm,2018-10-30 03:17:00,2018-10-30 03:17:00,True,Exact match with M4b batch test evaluation; onset post-dates first 29 test rows (unaffected by D23)
out_flatline_010,Out,flatline,train,baseline,2018-10-18 14:08:00,2018-10-18 14:08:00,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_flatline_010,Out,flatline,train,if,2018-10-18 14:08:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_flatline_010,Out,flatline,train,lstm,2018-10-18 13:58:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_flatline_011,Out,flatline,train,baseline,,,True,"Exact match with M2 baseline (whole-series threshold, D24)"
out_flatline_011,Out,flatline,train,if,2018-09-15 18:30:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
out_flatline_011,Out,flatline,train,lstm,2018-09-16 14:25:00,,not_applicable,Demo only — model had training exposure (D26); batch value not computed for train
